visitor_id,item_id,how_many_view_for_item,how_many_view_for_item_in_last_week
6,65273,0,0
150,452955,2,2
155,452082,0,0
155,368372,0,0
155,224623,0,0
155,389974,0,0
155,442601,0,0
155,41882,0,0
155,181405,0,0
172,10034,5,1
172,465522,3,3
177,6073,2,2
186,49029,2,2
264,459835,1,1
264,161949,2,2
299,149253,1,1
302,463280,1,1
318,133814,1,1
363,290999,4,2
379,320130,1,1
416,232172,3,3
419,19278,2,2
420,178480,2,2
420,395273,2,2
420,304558,0,0
420,357779,0,0
420,5951,1,1
420,55239,0,0
420,187848,0,0
539,94371,4,4
588,250345,1,1
627,414182,4,4
645,37029,2,2
648,207125,1,1
745,246164,1,1
795,207825,0,0
845,351530,3,3
878,283916,2,2
904,267461,1,1
914,382946,1,1
918,222888,0,0
964,430113,6,6
1032,243949,3,3
1117,290555,2,2
1130,115323,2,2
1159,337777,0,0
1203,30024,4,4
1212,338660,1,1
1399,136523,0,0
1427,3024,1,1
1480,325852,0,0
1626,85774,2,2
1634,869,1,1
1634,21838,1,1
1641,348478,2,2
1654,123555,4,1
1658,91888,1,1
1695,299770,6,6
1715,335351,1,1
1732,267977,1,1
1742,225612,0,0
1765,330469,3,3
1920,280342,4,1
1936,369447,4,4
2004,132772,1,1
2019,328869,0,0
2019,445559,7,7
2019,393144,10,10
2090,108491,1,1
2114,342264,1,1
2133,137697,1,1
2216,308764,3,3
2242,402047,1,1
2248,171645,2,2
2249,88126,1,1
2277,353221,0,0
2326,87702,7,7
2468,181948,2,2
2519,413125,11,8
2572,349796,1,1
2598,183087,1,1
2603,335356,0,0
2603,138613,0,0
2623,54915,1,1
2646,360487,4,4
2656,82576,36,16
2732,51650,0,0
2754,7449,5,5
2943,301345,1,1
2961,108657,2,2
2978,365889,4,4
2985,290126,0,0
2985,307306,0,0
2985,427103,0,0
2985,431178,0,0
3007,145403,2,2
3048,331032,0,0
3050,205830,1,1
3057,57810,1,1
3104,346661,10,10
3104,342086,3,3
3171,339976,2,2
3172,454818,2,2
3174,45420,1,1
3218,404188,5,5
3251,97661,1,1
3258,19278,8,8
3258,353548,4,4
3258,192948,0,0
3265,254193,1,1
3265,400707,1,1
3396,351841,1,1
3404,7642,5,5
3429,226670,0,0
3465,114485,1,1
3465,434048,0,0
3465,8523,1,1
3581,220793,1,1
3641,262826,1,1
3827,26678,2,2
3847,388002,2,2
3868,194593,0,0
3896,407518,1,1
3926,323347,0,0
3926,187379,3,3
3936,61237,1,1
3936,172894,3,3
4034,189265,0,0
4061,69754,2,2
4101,104752,2,2
4101,400859,2,2
4101,170353,1,1
4101,228066,1,1
4113,231807,9,9
4115,98467,3,3
4115,403576,0,0
4167,19318,0,0
4241,340794,1,1
4249,160127,3,3
4270,465511,1,1
4284,101156,1,1
4317,275625,0,0
4348,389814,1,1
4368,258208,8,8
4387,262826,2,2
4419,104560,1,1
4492,56782,1,1
4525,298190,1,1
4537,166106,4,4
4543,33913,1,1
4606,75961,2,2
4606,112065,1,1
4608,443647,2,2
4608,442003,1,1
4608,326220,2,2
4682,256721,1,1
4694,371724,0,0
4694,138314,1,1
4716,408737,1,1
4739,281727,0,0
4739,110428,0,0
4739,447158,0,0
4739,120008,1,1
4739,153274,0,0
4739,218249,0,0
4739,237578,1,1
4739,464967,1,1
4739,444821,1,1
4739,323068,2,2
4739,21863,0,0
4739,63499,0,0
4739,225308,1,1
4739,231632,1,1
4739,435724,0,0
4739,288638,0,0
4739,112452,1,1
4773,455911,5,5
4809,461686,2,2
4847,102346,1,1
4847,62283,1,1
4899,46156,4,4
4960,461710,0,0
4960,185994,0,0
4960,461538,0,0
5038,346341,2,2
5038,379934,1,1
5042,127634,3,3
5042,138443,1,1
5061,102209,1,1
5079,322342,0,0
5089,206308,3,3
5117,241061,4,4
5207,37174,9,9
5321,463347,0,0
5321,234657,0,0
5322,335235,1,1
5344,264179,3,3
5344,336393,5,5
5344,116669,7,7
5362,252314,1,1
5398,174189,1,1
5417,305385,4,4
5417,181541,1,1
5423,32937,1,1
5427,314801,3,3
5477,73311,2,2
5527,364008,1,1
5537,357978,0,0
5544,461686,1,1
5546,108817,3,3
5703,295495,0,0
5703,186214,4,4
5708,299038,1,1
5803,190293,1,1
5809,77562,1,1
5862,414547,0,0
5939,379294,1,1
5973,12217,3,3
5977,138196,1,1
6029,294267,5,5
6125,291728,0,0
6167,130113,7,7
6170,447200,0,0
6170,213715,1,1
6170,298759,1,1
6170,102713,1,1
6170,346197,1,1
6170,138873,2,2
6170,452013,6,6
6170,125499,0,0
6170,94430,1,1
6170,65135,1,1
6170,92829,0,0
6170,198508,2,2
6170,293108,1,1
6170,205616,0,0
6170,181057,2,2
6170,395672,1,1
6170,400059,1,1
6170,48691,2,2
6170,156955,1,1
6170,422159,1,1
6170,378839,1,1
6170,209129,3,3
6170,446098,3,3
6170,359464,1,1
6180,361443,3,2
6190,7943,1,1
6323,235771,1,1
6330,244179,1,1
6390,98425,0,0
6390,158666,0,0
6394,48141,0,0
6427,183756,0,0
6431,360922,2,2
6468,65273,5,1
6468,378760,1,1
6468,108343,1,1
6468,289096,1,1
6516,162139,0,0
6561,91873,1,1
6618,49967,2,2
6664,265251,1,1
6670,24734,0,0
6670,106741,2,2
6699,51354,9,9
6699,20934,3,3
6699,401285,2,2
6699,210087,2,2
6699,280375,2,2
6699,217673,1,1
6699,232129,1,1
6699,73602,5,5
6750,461190,7,7
6780,466008,4,4
6796,315545,2,2
6855,465522,2,2
6864,433272,0,0
6864,154485,1,1
6911,382437,1,1
6952,108924,2,2
6952,461686,2,2
6952,19789,0,0
6955,83837,1,1
6958,130771,2,2
6958,339822,3,3
6958,235285,2,2
6958,268049,1,1
6958,320790,1,1
6958,398488,1,1
6958,366667,2,2
6958,332769,1,1
6958,236652,2,2
6958,180644,1,1
6958,225559,2,2
6958,48557,1,1
6958,431417,5,5
6958,374855,8,8
6958,187200,1,1
6958,184011,1,1
7016,411039,0,0
7016,32591,3,3
7030,322078,1,1
7030,353515,1,1
7166,61273,1,1
7236,369933,3,3
7244,199018,0,0
7244,175662,1,1
7247,91739,0,0
7247,464162,0,0
7287,151234,3,3
7287,223196,1,1
7300,387652,0,0
7315,11279,0,0
7330,248440,1,1
7343,102327,3,3
7355,193032,1,1
7415,117788,2,2
7429,395656,1,1
7457,406529,4,1
7511,288078,1,1
7543,112197,1,1
7633,7943,4,4
7720,96940,2,2
7824,380118,0,0
7845,127939,1,1
7845,153040,2,2
7967,211418,0,0
7969,88032,9,9
8021,418560,0,0
8031,64951,0,0
8036,161785,1,1
8043,350384,2,2
8043,211418,2,2
8053,187549,1,1
8078,183511,0,0
8083,235639,6,5
8091,412371,2,2
8197,316753,0,0
8284,299341,0,0
8293,347641,0,0
8319,366450,3,3
8359,232188,5,1
8393,146572,2,2
8393,212767,1,1
8393,400940,1,1
8411,392689,1,1
8411,99296,3,3
8483,358845,0,0
8516,248569,1,1
8605,386324,3,3
8626,997,2,2
8629,111306,2,2
8644,131118,1,1
8644,458803,1,1
8644,292484,2,2
8644,383409,1,1
8644,417085,1,1
8644,443875,1,1
8670,358594,10,10
8726,158314,0,0
8731,16633,2,2
8731,305675,1,1
8780,30439,0,0
8847,254655,1,1
8876,40990,1,1
8881,61303,0,0
8914,214332,21,1
8930,161623,1,1
8952,338660,1,1
8960,276883,1,1
9010,21320,0,0
9076,322124,1,1
9079,224862,1,1
9079,392618,2,2
9099,330786,3,3
9112,281003,1,1
9133,69333,2,2
9145,425458,1,1
9145,408059,1,1
9145,59399,1,1
9145,283100,2,2
9145,350790,3,3
9155,431290,0,0
9155,164683,0,0
9233,119538,1,1
9352,336578,1,1
9385,432503,2,2
9401,255708,1,1
9455,392311,3,3
9473,300075,1,1
9498,74117,2,2
9519,416530,1,1
9618,334007,1,1
9661,62275,0,0
9708,228644,1,1
9882,198209,0,0
10023,23762,1,1
10023,51969,1,1
10025,316243,5,5
10113,151703,1,1
10162,146661,1,1
10212,46971,10,10
10248,232917,1,1
10252,150103,0,0
10253,147609,0,0
10253,294076,2,2
10253,229261,0,0
10253,205830,0,0
10265,384470,3,3
10272,101223,1,1
10306,190606,3,3
10369,334432,5,5
10375,218646,2,2
10378,166693,2,2
10378,350384,1,1
10387,303167,2,2
10397,181045,5,5
10423,86598,0,0
10423,442080,0,0
10443,96233,1,1
10520,330305,3,3
10539,256513,1,1
10554,297886,4,1
10583,197862,0,0
10583,400859,1,1
10666,91998,2,2
10670,419736,1,1
10677,123650,3,3
10685,83168,1,1
10857,397791,1,1
10857,207622,2,2
10867,291409,5,5
10871,393926,1,1
10884,273198,2,2
10893,312414,1,1
11055,161478,5,5
11055,214571,2,2
11061,55627,1,1
11087,289922,4,1
11172,314579,2,2
11187,76426,1,1
11193,446542,0,0
11193,264297,1,1
11209,272649,1,1
11209,387913,2,2
11209,131609,1,1
11209,185741,6,6
11248,29196,1,1
11248,409804,2,2
11248,312728,2,2
11248,258058,1,1
11261,361288,2,2
11287,90293,2,2
11333,303617,6,6
11333,403302,7,7
11333,166100,2,2
11363,231599,1,1
11392,110517,5,3
11438,82896,2,2
11462,179271,8,8
11508,186228,3,3
11523,417532,4,4
11523,122456,15,3
11530,415145,3,3
11600,206880,2,2
11619,23762,0,0
11761,408145,10,10
